,dataset_name,detection_point
0,1500mAh1-100S0C,1065.0
1,1500mAh1-20S0C,1385.0
2,1500mAh1-40S0C,
3,1500mAh1-60S0C,1451.0
4,1500mAh1-80S0C,1304.0
5,1500mAh2-100S0C,1397.0
6,1500mAh2-20S0C,648.0
7,1500mAh2-40S0C,1239.0
8,1500mAh2-60S0C,1359.0
9,1500mAh2-80S0C,1272.0
10,1500mAh3-100S0C,379.0
11,1500mAh3-20S0C,1439.0
12,1500mAh3-40S0C,1423.0
13,1500mAh3-60S0C,2243.0
14,1500mAh3-80S0C,1294.0
15,2000mAh1-100S0C,1481.0
16,2000mAh1-20S0C,1399.0
17,2000mAh1-40S0C,1479.0
18,2000mAh1-60S0C,1364.0
19,2000mAh1-80S0C,503.0
20,2000mAh2-100S0C,1479.0
21,2000mAh2-20S0C,1499.0
22,2000mAh2-40S0C,1553.0
23,2000mAh2-60S0C,1501.0
24,2000mAh2-80S0C,1505.0
25,500mAh1-100S0C,1187.0
26,500mAh1-20S0C,
27,500mAh1-40S0C,1343.0
28,500mAh1-60S0C,1310.0
29,500mAh1-80S0C,1122.0
30,500mAh2-100S0C,1055.0
31,500mAh2-20S0C,1195.0
32,500mAh2-40S0C,1151.0
33,500mAh2-60S0C,1079.0
34,500mAh2-80S0C,1069.0
35,500mAh3-100S0C,899.0
36,500mAh3-20S0C,199.0
37,500mAh3-40S0C,989.0
38,500mAh3-60S0C,899.0
39,500mAh3-80S0C,911.0
40,LCO-LP-6400mAh-100SOC-cell1,1599.0
41,LCO-LP-6400mAh-100SOC-cell2,
42,LCO-LP-6400mAh-80SOC-Cell3,1959.0
43,LCO-LP6400mAh-80SOC-cell4,1511.0
44,LFP10Ah-60SOC-Cell17,683.0
45,OE-10AHr-NMC-40SOC-Cell4,359.0
46,OE-10Ahr-NMC-0SOC-cell1,2144.0
47,OE-10Ahr-NMC-0SOC-cell2,1889.0
48,OE-10Ahr-NMC-100SOC-cell10,
49,OE-10Ahr-NMC-100SOC-cell11,
50,OE-10Ahr-NMC-40SOC-cell1,1769.0
51,OE-10Ahr-NMC-70SOC-cell6,
52,OE-10Ahr-NMC-70SOC-cell7,
53,OE-10Ahr-NMC-80SOC-Cell9,
54,OE-10Ahr-NMC-80SOC-cell8,
55,OE-LCO-6270mAh-40SOC,1631.0
56,OE-LCO-6340mAh-0SOC,1407.0
57,OE-LCO-6400mAh-20SOC,1631.0
58,OE-LCO-6470mAh-60SOC,1415.0
59,OE-LCO-6490mAh-60SOC,1423.0
60,OE-LCO-6500mAh-20SOC,1519.0
61,OE-LCO-6500mAh-40SOC,1679.0
62,OE-LCO-6550mAh-20SOC,1483.0
63,OE-LCO-6560mAh-0SOC,1557.0
64,OE-LFP-cell14-60SOC-10Ah,533.0
65,OE-LFP10Ah-0SOC-cell10,2046.0
66,OE-LFP10Ah-0SOC-cell9,557.0
67,OE-LFP10Ah-100SOC-cell12,599.0
68,OE-LFP10Ah-100SOC-cell1,527.0
69,OE-LFP10Ah-100SOC-cell2,741.0
70,OE-LFP10Ah-20SOC,527.0
71,OE-LFP10Ah-40SOC-cell7,519.0
72,OE-LFP10Ah-40SOC-cell8,494.0
73,OE-LFP10Ah-60SOC,2235.0
74,OE-LFP10Ah-70SOC-cell5,647.0
75,OE-LFP10Ah-70SOC-cell6,523.0
76,OE-LFP10Ah-80SOC-Cell15,639.0
77,OE-LFP10Ah-80SOC-cell13,1803.0
78,OE-LFP10Ah-80SOC-cell3,575.0
79,OE-LFP10Ah-80SOC-cell4,1205.0
80,OE-NMC10Ah-20SOC-cell2,1259.0
81,OE-NMC10Ah-20SOC,2161.0
82,OE-NMC10Ah-45SOC-cell2,1819.0
83,OE-NMC10Ah-45SOC,1869.0
84,OE-NMC10Ah-50SOC,2217.0
85,OE-NMC10Ah-60SOC,
86,Soetria-80SOC-cell3,
87,Soetria-Control-45SOC-cell1,
88,Sorteria-100SOC-cell1,1979.0
89,Sorteria-100SOC-cell2,
90,Sorteria-Control-100SOC-cell1,
91,Sorteria-Control-100SOC-cell2,
92,Sorteria-Control-60SOC-cell1,1797.0
93,Sorteria-control-20SOC-cell1,1534.0
94,Sorteria-control-40SOC-cell2,
95,Soteria-Control-0SOC-cell1,1559.0
96,Soteria-Control-5010mAh-20SOC,1597.0
97,Soteria-Control-5030mAh-10SOC,1484.0
98,Soteria-Control-50SOC,1785.0
99,Soteria-Control-5100mAh-55SOC,1511.0
100,Soteria-Control-5120mAh-50SOC,1627.0
101,Soteria-SCC-20SOC-5180mAh,
102,Soteria-SCC-4160mAh-100SOC-8mm,1747.0
103,Soteria-SCC-4630mAh-10SOC,1209.0
104,Soteria-SCC-4700mAh-100SOC-12mm,2943.0
105,Soteria-SCC-4720mAh-40SOC,1633.0
106,Soteria-SCC-4870mah-0SOC,185.0
107,Soteria-SCC-5050mAhr-100SOC,1631.0
108,Soteria-SCC-5070-70SOC,1631.0
109,Soteria-SCC-5080mAh-20SOC,371.0
110,Soteria-SCC-5170mAh-60SOC,
111,Soteria-SCC-60SOC-cell1,
112,Soteria-SCC-80SOC-cell1,1616.0
113,Soteria-SCC-90SOC-cell1,
114,Soteria-control-10SOC-cell1,1721.0
115,Soteria-control-30SOC-cell1,944.0
116,Soteria-control-30SOC-cell2,2169.0
117,Soteria-control-5100mAh-50SOC,681.0
